id,first_name,last_name,position,equipo
230,Wes,Iwundu,F,Portland Trail Blazers
231,Jaren,Jackson Jr.,F-C,Utah Jazz
232,Demetrius,Jackson,G,Houston Rockets
233,Frank,Jackson,G,Phoenix Suns
234,Josh,Jackson,F,Toronto Raptors
235,Justin,Jackson,F,Minnesota Timberwolves
236,Reggie,Jackson,G,Philadelphia 76ers
237,LeBron,James,F,Philadelphia 76ers
238,Amile,Jefferson,F,Orlando Magic
239,Jonas,Jerebko,F,Detroit Pistons
240,Alize,Johnson,F,Minnesota Timberwolves
241,Amir,Johnson,C-F,Toronto Raptors
242,James,Johnson,F,Indiana Pacers
243,Stanley,Johnson,F,Utah Jazz
244,Tyler,Johnson,G,San Antonio Spurs
245,Wesley,Johnson,F-G,LA Clippers
246,Nikola,Jokic,C,Denver Nuggets
247,Derrick,Jones Jr.,F-G,LA Clippers
248,Damian,Jones,C,Cleveland Cavaliers
249,Tyus,Jones,G,Denver Nuggets
250,DeAndre,Jordan,C,New Orleans Pelicans
251,Cory,Joseph,G,Orlando Magic
252,Frank,Kaminsky,F-C,Phoenix Suns
253,Enes,Kanter,C,Boston Celtics
254,Luke,Kennard,G,Phoenix Suns
255,Michael,Kidd-Gilchrist,F,Charlotte Hornets
256,George,King,F,Dallas Mavericks
257,Maxi,Kleber,F,Los Angeles Lakers
258,Brandon,Knight,G,Dallas Mavericks
259,Kevin,Knox,F,Golden State Warriors
260,Furkan,Korkmaz,G-F,Philadelphia 76ers
261,Luke,Kornet,F-C,San Antonio Spurs
262,Kyle,Korver,G-F,Philadelphia 76ers
263,Kosta,Koufos,C,Sacramento Kings
264,Rodions,Kurucs,F,Brooklyn Nets
265,Kyle,Kuzma,F,Milwaukee Bucks
266,Skal,Labissiere,F,Washington Wizards
267,Jeremy,Lamb,G,Sacramento Kings
268,Zach,LaVine,G,Sacramento Kings
269,Jake,Layman,F,Boston Celtics
270,TJ,Leaf,F,Indiana Pacers
271,Courtney,Lee,G,Memphis Grizzlies
272,Damion,Lee,G,Phoenix Suns
273,Alex,Len,C,New York Knicks
274,Kawhi,Leonard,F,LA Clippers
275,Meyers,Leonard,F-C,Milwaukee Bucks
276,Jon,Leuer,F,Memphis Grizzlies
277,Caris,LeVert,G,Milwaukee Bucks
278,Damian,Lillard,G,Portland Trail Blazers
279,Jeremy,Lin,G,Houston Rockets
280,Shaun,Livingston,G,Golden State Warriors
281,Zach,Lofton,G,Detroit Pistons
282,Kevon,Looney,F,Los Angeles Lakers
283,Brook,Lopez,C,LA Clippers
284,Robin,Lopez,C,Milwaukee Bucks
285,Kevin,Love,F-C,Utah Jazz
286,Kyle,Lowry,G,Philadelphia 76ers
287,Jordan,Loyd,G,Toronto Raptors
